"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvs&ct=0&vs=INTL.44-1-AFG-QBTU.A&vo=0&v=H&start=1990&end=2016&showdm=y"
"Sat Feb 02 2019 10:39:42 GMT-0600 (CST)"
"Source: U.S. Energy Information Administration"
,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"","Bahrain","Quad Btu",0.31258507254491,0.333316505,0.2873026746,0.3515295041,0.34856596,0.343588715,0.33392487885,0.39773490085,0.40371041345,0.4081326201,0.41491017639,0.425177272,0.44522205267,0.45209723682,0.45737722875,0.48675193655,0.5114821413,0.5278797329,0.5518634181,0.5545437128,0.56172406165425,0.55737080907713,0.61207919817209,0.66217314232577,0.69717595637247,0.70059384850477,0.69010917497772
"","Bangladesh","Quad Btu",0.163959578,0.173798892,0.2047011128,0.222818538,0.244679368,0.264079384,0.2728470228,0.27521807136,0.29566619585,0.3247264651,0.3514793865,0.374265359,0.407537918,0.45766931411294,0.49698555243254,0.5318876240719,0.58273434118587,0.62567983413537,0.69448856084368,0.75275535724456,0.77486525800154,0.77403445320529,0.84745897910001,0.87663349761776,0.91664294975605,1.0202214259425,1.1187507464067
"","Barbados","Quad Btu",0.00382688937,0.003789914565,0.00478104144,0.004521707335,0.00427058703,0.004521707335,0.003811188225,0.003517226115,0.00558879157,0.005806580335,0.00537439772,0.003913173905,0.00342744869,0.00342744869,0.0035131323,0.0042315868,0.0044126536,0.0041408424,0.0039827868,0.00248392335,0.003496579835642,0.003532754235642,0.0037201788434109,0.003958802235642,0.003428102235642,0.003725061035642,0.0038414881054109
"","Belarus","Quad Btu",--,--,0.09670208,0.09646688,0.096059604,0.09378399,0.08880363,0.085859535,0.0867129642,0.08621794755,0.08725125231,0.087777452,0.0859030729,0.0842457896,0.0849215332,0.08250393168,0.0829769208,0.0821898464,0.08182248392,0.0785708671,0.069594032625947,0.068619894645947,0.068806303572648,0.070415487625947,0.069793934545947,0.060202153869412,0.076091232937595
"","Belgium","Quad Btu",0.45219655904965,0.44579487373032,0.44542004150664,0.4251947934,0.413147453,0.421087495128,0.439801679489,0.47869931859,0.468369883606,0.498023544446,0.492247975909,0.477170278792,0.486964286552,0.485856540991,0.489457483226,0.497034032635,0.496805108834,0.519475593393,0.503448769179,0.53806479628728,0.56786937302453,0.5863397450728,0.52782159275432,0.56081365819434,0.48442084510243,0.41973589231074,0.58720318459419
"","Belize","Quad Btu",0.00041608,0.00041744,0.00041368,0.00041236,0.00041264,0.00082496,0.001034,0.001103004,0.0010727244,0.0011780352,0.00135907923,0.001359864132,0.001306955829,0.001026513,0.00103610512,0.001087941195,0.006602427441,0.00869674668,0.00973932544,0.010521897744,0.011356158792,0.01111910748,0.0086019968,0.009046252,0.006074788214,0.006610219,0.006842968
"","Benin","Quad Btu",0.00896732,0.00896732,0.0125886432,0.013005228,0.013453594,0.00672549,0.005009466,0.002914379,0.0025009949,0.0025010442,0.00155110068,0.001569281,0.001793464,0.001813714,1.0016E-5,9.999E-6,4.9595E-5,3.9536E-5,3.9416E-5,1.952E-5,1.9512E-5,1.9432E-5,1.9032E-5,2.8623E-5,2.853E-5,0.00018638,0.0001855632
"","Bermuda","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Bhutan","Quad Btu",0.016095833110203,0.016315203110203,0.018446401493394,0.018061713340451,0.01822716623517,0.018941020455575,0.02027291823517,0.020379142082227,0.019840030861821,0.019881511861821,0.019938971861821,0.02165621566748,0.024095057007161,0.026533088272176,0.024310290148998,0.028026561639933,0.045627653193629,0.065678792532415,0.069267489976673,0.069296570010283,0.071795319578879,0.06919779018163,0.065916472855179,0.073439150055809,0.07004694465314,0.073890272483625,0.074671370806517
"","Bolivia","Quad Btu",0.169755264,0.168217808,0.17739924,0.172618066,0.177225606,0.19914899,0.2008241735,0.2037318525,0.2117680965,0.1848980465,0.2159023582,0.277249837,0.32137029699811,0.36326106551208,0.50464086766586,0.590727488318,0.620748441993,0.65638271602,0.657918499702,0.57217847274,0.63986060086,0.69311684884,0.78816046850616,0.89837336130495,0.92299865896,0.9080483720575,0.872096816675
