,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cape Verde,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,Quad Btu,0.076554208,0.062893366,0.054396487,0.054869679,0.064724413,0.069764934,0.096695722,0.125827879,0.118421399,0.12218636,0.094412057,0.074044234,0.074640868,0.071369672,0.09472066,0.094041733,0.117783618,0.11825681,0.149569765,0.136793586,0.17353796,0.196662639,0.225794797,0.257643735,0.234593721,0.263581589,0.281820625
China,Quad Btu,24.27928221,21.59171314,22.33926106,23.86698939,25.66531216,27.89094585,28.74017372,27.13569863,27.0965307,28.25950488,30.36961557,32.01986789,34.37478262,41.128614,47.48536985,54.47149839,60.57363808,64.99865177,67.28042318,72.74109513,78.11388991,87.05600893,92.1513739,94.99363168,93.45421594,90.82529533,86.83359058
Colombia,Quad Btu,0.128686773,0.131471878,0.136619349,0.149749129,0.139976395,0.142438229,0.120654729,0.125727598,0.124011775,0.102054206,0.12754289,0.12463345,0.11739715,0.117695555,0.099244234,0.107997421,0.100288648,0.105560454,0.10309862,0.143233973,0.14858038,0.163425984,0.142463096,0.175138346,0.219937461,0.26282174,0.274607041
Comoros,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),Quad Btu,0.004220661,0.001715415,0.001030483,0.000345551,0.000271505,0.000246822,0.000185117,0.000123411,9.71E-05,7.08E-05,2.63E-05,9.08E-05,0.000197269,0.000232005,0.000339208,0.000553795,0.000525509,0.000654597,0.000671752,0.000567815,0.000574694,0.000362205,0.000466745,0.000343955,0.000287897,0.000323837,0.000292767
Cook Islands,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Quad Btu,0,0,0,0,1.10E-07,1.72E-07,1.41E-07,1.09E-07,1.33E-07,3.99E-08,2.22E-08,8.73E-08,8.54E-08,8.35E-08,1.41E-07,1.39E-07,5.76E-08,4.57E-08,6.81E-08,6.18E-08,1.25E-07,1.27E-07,8.73E-08,2.32E-06,2.39E-06,2.42E-07,2.91E-06
Cote dIvoire (IvoryCoast),Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,Quad Btu,--,--,0.026022403,0.024727392,0.015637876,0.008087714,0.006499492,0.010237922,0.009627067,0.008478661,0.017177229,0.019083096,0.023578985,0.027439586,0.029052242,0.027854967,0.026169008,0.028001572,0.028881202,0.020720186,0.028612426,0.029247715,0.025704759,0.027219678,0.026165001,0.024575644,0.026349495
Cuba,Quad Btu,0.003934211,0.002725663,0.001208549,0.001799966,0.002237101,0.001979963,2.57E-05,0.000411421,0.000488562,0.000591417,0.000565704,0.000334279,0.000668559,0.000642845,0.000591417,0.000565704,0,0.000462848,0.000617131,0.000591417,0.000591417,0.000591417,0.000565704,7.58E-05,4.67E-05,7.41E-05,4.87E-05
Cyprus,Quad Btu,0.000501208,0.000501208,0.000134344,0.00016018,0.000139512,0.000103342,9.30E-05,9.82E-05,0.000134344,0.000155013,0.000253188,0.000273856,0.000273856,0.000273856,0.000299691,0.000273856,0.00028419,0.000258355,0.000211851,0.000113676,0.000139512,6.72E-05,5.17E-06,5.17E-06,7.37E-05,0.000110613,3.74E-06
Czech Republic,Quad Btu,--,--,--,1.057794941,0.98571837,0.970010113,0.972428983,0.944064851,0.864717272,0.758675734,0.891756785,0.865034029,0.837735352,0.856870342,0.839736679,0.824892303,0.826490485,0.840715745,0.795966648,0.742405953,0.745746297,0.754802662,0.721269635,0.655254638,0.648046156,0.658190924,0.678269774
Denmark,Quad Btu,0.232630561,0.314621773,0.258338683,0.276967757,0.305749676,0.255614181,0.349574573,0.25689493,0.217447866,0.182355348,0.153922724,0.162375666,0.161257921,0.224387196,0.171992925,0.146145085,0.217215002,0.184451119,0.162934538,0.158649851,0.155273331,0.129425491,0.101458594,0.128377606,0.102484234,0.072780104,0.084124045
Djibouti,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Quad Btu,0.000396883,0.000452913,0.000429567,0.00050194,0.001424108,0.001867683,0.002427987,0.002474679,0.003501905,0.001167302,0.002171181,0.004739245,0.005439626,0.008941531,0.01006214,0.011112712,0.016435607,0.016995912,0.018443366,0.018046483,0.017439487,0.01853675,0.020451125,0.02012428,0.023981518,0.027319131,0.028884284
Ecuador,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,3.19E-05,2.82E-05,3.94E-05,4.92E-05,8.37E-05,0.000261463,6.81E-05,0.000121051,0.000188989,0.000409869,0.00037574,0.000491965,0.000587845,0.000683032,0.000635439,0.000359339
Egypt,Quad Btu,0.030866798,0.029335611,0.028071773,0.036019366,0.045012055,0.037429031,0.042605903,0.039519224,0.035970757,0.033904869,0.035120097,0.030623753,0.033054209,0.034026392,0.034998574,0.034634006,0.034269437,0.031109844,0.02795025,0.024790657,0.018714515,0.017256242,0.015068831,0.008020507,0.010548306,0.013593938,0.016418229
El Salvador,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,Quad Btu,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Quad Btu,--,--,0.00471981,0.004764336,0.001580691,0.00184785,0.003027803,0.003294962,0.001558428,0.001602954,0.001625218,0.00150277,0.001380322,0.000690161,0.001602954,0.001291269,0.001001846,0.001870113,0.00287196,0.001936903,0.001335795,0.001625218,0.001424848,0.001402585,0.001626288,0.001085089,0.000673824
Ethiopia,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,4.39E-08,9.00E-07,8.78E-08,1.10E-07,0,2.41E-07,1.58E-05,0.000329241,0.000921876,0.001097471,0.003731402,0.004916671,0.006387282,0.008889516,0.009021213,0.010738536
Falkland Islands (Islas Malvinas),Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,Quad Btu,0.000543384,0.000407745,0.000447472,0.000646131,0.000646131,0.000555565,0.000591798,0.000563714,0.000512465,0.00046122,0.000435597,0.00038435,0.000417661,0.000422786,5.12E-06,0,0,0,0,0,0,0,0,0,0,0,0
Finland,Quad Btu,0.143093004,0.141091172,0.123226719,0.151987221,0.196939761,0.166304124,0.202286427,0.177276192,0.131892879,0.13473092,0.131462105,0.151936542,0.168838089,0.22592832,0.202514484,0.113242896,0.198308102,0.17453951,0.129282895,0.143093004,0.176465323,0.135997902,0.117195882,0.147527443,0.123376909,0.099595423,0.126724981
Former Czechoslovakia,Quad Btu,1.432283381,1.290023015,1.137376405,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
